Text,target
@AAlwuhaib1977 Muslim mob violence against Hindus in Bangladesh continues in 2014. #Islam http://t.co/C1JBWJwuRc,1
@jncatron @isra_jourisra @AMPalestine Islamophobia is like the idea of Naziphobia. Islam is a religion of hate and it must be outlawed.,1
@HuffPostRelig Islam invaded and conquered 2/3 of Christiandom before any Christian crusades in response. The writer is a liar.,1
"@semzyxx Do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",1
@watan71969 @geeky_zekey Problem with vile Muslims is that they try to rationalize &amp; excuse the crimes of Islam rather than get rid of them.,1
@Ammaawah @jm111t You are following the religion of ignorance with an illiterate prophet and you want to talk about spelling? LOL.,1
@hahellyer True. Stoning and beheading were much more to Mohammed's taste.,1
@abunaseeha2 Have they told the tribe yet that their daughters would become whores for sexual jihad?,1
"@MaDaSaHaTtEr_17 @buttercupashby Furthermore, telling people that they should be tolerant of a wholly intolerant religion is idiotic.",1
@ummsuhaym @logicalmind11 Quran 8.12 would be a good example of terrorism. http://t.co/vonYOAtpfk,1
"RT @IAMMGraham: I've been called an Islamophobe for saying Islam needs a theological reformation. Now the head of Egypt agrees:
http://t.co…",1
@reza_rahman You are basically claiming that a religion that teaches hatred and murder has nothing to do with hatred and murder. Dumb!,1
"@NNdabbour64 I am better. I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism. But Islam hates all non-Muslims.",1
"@Vandaliser @sajid_fairooz @IsraeliRegime Notice how most of the contributions are from Persians, not Arabs, and are despite Islam.",1
@MaxBlumenthal @Ajzionts I think your Muslim friends are raping girls around the world. http://t.co/liSKP9U8Uq,1
@RaniaKhalek @MaxBlumenthal @NickKristof Muslim bigots constantly create confrontations and then whine to the world about results.,1
"@freemedialive Fuck #Islam. Mohammed was a pedophile, murderer, bigot, sexist, rapist, slave trader, caravan robber, and liar.",1
@RichardDawkins The parallel between the behavior of terrorist organizations and the prophet Mohammed is something I've preached for 15 year,1
"@DianH4 @ExposeFalsehood We don't support tyrants, Islam produces nothing but tyrants.  All the Caliphs and Sultans were tyrants.",1
"@CherguiaMbark Yes, I'm hoping we can get the Muslims to stop oppressing Jews and Christians and Hindus and Buddhists.",1
@DawlatnaMansura The ground drone will be bullet proof and carry small rockets to intercept RPGs.,1
"@Rayandawlah_ @_Jihad10 These days might and honor come from science, technology, humanitarianism. Which is why Muslims won't get any.",1
"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime And while Christianity moved past it's barbarity, Islam keeps returning to it.",1
"@congressman_aly No, the Muslims worldwide are the problem. Israel is protecting itself against the same Muslim persecution that is global.",1
"@edgeofthesandbx @batchelorshow @FearDept I'm talking total extermination, bragged about right there in the book.",1
"If someone is going to die getting ISIS out of #Tikrit, it may as well be the Shia militia.  That is all good.  #Islam #Daesh",1
@BinMaymun @stevoiraq I don't trust ISIS or the Shia militia. Both want to force their sick religion on people. #Tikrit,1
@lauracdean I love how the Islamofascists recruit 14 and 15 year old jihadis and then talk about minors in reference to 17 year olds.,1
@jncatron @isra_jourisra Wrong. They were connected to the Muslim Brotherhood and they were anti Semitic bigots.,1
@Nigzzzk The command to fear Allah is all through the Quran.  The ritual of groveling on the ground is one of fear. No personal relationship,1
@ZamiraTwitt Erdogan is a fascist Islamist scum bag. Women's employment has decreased 30% under him. Violence against women has increased.,1
"@ummayman90 Because they breed like rats, kill non Muslims, and force religion on people by the sword.",1
@anjemchoudary Nobody cares what his honor means to you fools.  We have no obligation to honor the slave trader and caravan robber.,1
"@QrysBinThynkn That's because it's all about the barbarity of Islam, not the beards.",1
"@SumbelinaZ @IronmanL1 @Hatewatch Name the last person the KKK killed, and you can find 100,000 that have since been killed by Islamists.",1
RT @PatDollard: #ISIS using retarded kids as suicide bombers is nothing new. When I was in Ramadi they rolled one in a wheelchair at us. Ha…,1
@KamelNasrEldien Islam is about as perfect as Nazism.,1
@hu_4u Why would I read lies about what Islam is when I can see what it is in the Quran and Hadiths?,1
RT @SmokeNMirrors71: @AceofSpadesHQ Same MSM that insists Islam has no connection w/terror censors cartoons cuz they fear being murdered. S…,1
@DianH4 @ExposeFalsehood But the pedophile prophet Mohammed only cared about his pecker and his perverted desires.,1
@CherguiaMbark Every Muslim convert becomes Muslim propaganda.,1
